cleaned_title,Sentiment
zenobia people mean big brother instincts kicking,Neutral
im super happy came,Positive
thought weird glitch female faces else still experiencing,Neutral
finally finished,Neutral
clock,Neutral
funny,Positive
playing vivariums,Neutral
good deal get hogwarts legacy,Positive
got,Neutral
oh god tobbs,Negative
favorite season,Positive
character looking dapper af,Positive
new shop,Neutral
window wall,Neutral
sure want learn,Neutral
whooped samantha hard summoners court left speechless,Negative
bound crucio default way interacting,Neutral
kneazles triangle top,Neutral
epic view hogwarts sunset game,Neutral
need name ideas,Neutral
peaceful moment,Positive
,Neutral
finished hogwarts,Neutral
sickles whoever counts staircases first,Negative
anyone else intrigued san bakar beast,Neutral
nattys wand,Neutral
almost permanent disability later finally got games platinum,Neutral
